### Armor ###		
		
HD_M_1010	Iron Helmet
WP_A_0860	Celebrant's Skull
WP_A_0861	Pickaxe
WP_A_0862	Beastclaw Greathammer
WP_A_0863	Cranial Vessel Candlestand
WP_A_0864	Great Stars
WP_A_0865	Brick Hammer
WP_A_0866	Staff of the Avatar
WP_A_0867	Fallingstar Beast Jaw
WP_A_0869	Ghiza's Wheel
WP_A_0870	Giant-Crusher
WP_A_0871	Devourer's Scepter
WP_A_0873	Troll's Hammer
WP_A_0874	Rotten Staff
WP_A_0875	Rotten Greataxe
WP_A_0876	Rotten Battle Hammer
WP_A_0902	Spear
WP_A_0905	Crystal Spear
WP_A_0907	Guardian's Swordspear
WP_A_0909	Clayman's Harpoon
WP_A_0910	Cleanrot Spear
WP_A_0911	Pest's Glaive
WP_A_0918	Mohgwyn's Sacred Spear
WP_A_0919	Iron Spear
WP_A_0921	Partisan
WP_A_0922	Celebrant's Rib-Rake
WP_A_0926	Pike
WP_A_0929	Siluria's Tree
WP_A_0930	Bolt of Gransax
WP_A_0932	Cross-Naginata
WP_A_0933	Death Ritual Spear
WP_A_0934	Inquisitor's Girandole
WP_A_0935	Serpent-Hunter
WP_A_0937	Vyke's War Spear
WP_A_0938	Lance
WP_A_0939	Treespear
WP_A_1002	Lucerne
WP_A_1003	Banished Knight's Halberd
WP_A_1004	Commander's Standard
WP_A_1005	Nightrider Glaive
WP_A_1006	Longhaft Axe
WP_A_1007	Ripple Crescent Halberd
WP_A_1009	Vulgar Militia Saw
WP_A_1012	Golem's Halberd
WP_A_1013	Golden Halberd
WP_A_1014	Glaive
WP_A_1016	Loretta's War Sickle
WP_A_1017	Spiked Spear
WP_A_1019	Dragon Halberd
WP_A_1020	Gargoyle's Halberd
WP_A_1021	Rotten Crystal Spear
WP_A_1022	Gargoyle's Black Halberd
WP_A_1050	Scythe
WP_A_1052	Grave Scythe
WP_A_1053	Halo Scythe
WP_A_1054	Vulgar Militia Shotel
WP_A_1057	Winged Scythe
WP_A_1100	Twinblade
WP_A_1101	Godskin Peeler
WP_A_1104	Eleonora's Poleblade
WP_A_1105	Twinned Knight Swords
WP_A_1109	Gargoyle's Twinblade
WP_A_1110	Gargoyle's Black Blades
WP_A_1150	Caestus
WP_A_1151	Venomous Fang
WP_A_1152	Hookclaws
WP_A_1153	Spiked Caestus
WP_A_1154	Bloodhound Claws
WP_A_1157	Katar
WP_A_1158	Clinging Bone
WP_A_1159	Veteran's Prosthesis
WP_A_1162	Grafted Dragon
WP_A_1163	Raptor Talons
WP_A_1164	Iron Ball
WP_A_1165	Cipher Pata
WP_A_1166	Star Fist
WP_A_1200	Whip
WP_A_1203	Thorned Whip
WP_A_1204	Magma Whip Candlestick
WP_A_1206	Hoslow's Petal Whip
WP_A_1207	Giant's Red Braid
WP_A_1208	Urumi
WP_A_1250	Flail
WP_A_1251	Nightrider Flail
WP_A_1252	Family Heads
WP_A_1253	Bastard's Stars
WP_A_1255	Chainlink Flail
WP_A_1303	Crystal Staff
WP_A_1307	Gelmir Glintstone Staff
WP_A_1309	Demi-Human Queen's Staff
WP_A_1310	Glintstone Staff
WP_A_1316	Staff of the Guilty
WP_A_1317	Digger's Staff
WP_A_1319	Astrologer's Staff
WP_A_1322	Academy Glintstone Staff
WP_A_1323	Carian Glintstone Staff
WP_A_1324	Meteorite Staff
WP_A_1325	Carian Regal Scepter
WP_A_1326	Albinauric Staff
WP_A_1327	Prince of Death's Staff
WP_A_1328	Carian Glintblade Staff
WP_A_1329	Staff of Loss
WP_A_1330	Finger Seal
WP_A_1331	Godslayer's Seal
WP_A_1332	Giant's Seal
WP_A_1333	Gravel Stone Seal
WP_A_1334	Clawmark Seal
WP_A_1336	Golden Order Seal
WP_A_1340	Azur's Glintstone Staff
WP_A_1341	Lusat's Glintstone Staff
WP_A_1342	Rotten Crystal Staff
WP_A_1401	Composite Bow
WP_A_1402	Red Branch Shortbow
WP_A_1403	Albinauric Bow
WP_A_1404	Horn Bow
WP_A_1405	Misbegotten Shortbow
WP_A_1406	Shortbow
WP_A_1407	Golem Greatbow
WP_A_1408	Lion Greatbow
WP_A_1410	Longbow
WP_A_1411	Harp Bow
WP_A_1413	Erdtree Bow
WP_A_1414	Serpent Bow
WP_A_1417	Erdtree Greatbow
WP_A_1418	Black Bow
WP_A_1419	Pulley Bow
WP_A_1420	Greatbow
WP_A_1501	Soldier's Crossbow
WP_A_1503	Light Crossbow
WP_A_1506	Arbalest
WP_A_1508	Pulley Crossbow
WP_A_1510	Hand Ballista
WP_A_1511	Jar Cannon
WP_A_1512	Heavy Crossbow
WP_A_1513	Full Moon Crossbow
WP_A_1514	Crepus's Black-Key Crossbow
WP_A_2001	Marred Wooden Shield
WP_A_2002	Banished Knight's Shield
WP_A_2003	Dragonclaw Shield
WP_A_2005	Albinauric Shield
WP_A_2007	Sun Realm Shield
WP_A_2008	Rickety Shield
WP_A_2009	Wooden Greatshield
WP_A_2010	Distinguished Greatshield
WP_A_2013	Crucible Hornshield
WP_A_2014	Silver Mirrorshield
WP_A_2016	Round Shield
WP_A_2020	Heater Shield
WP_A_2021	Great Turtle Shell
WP_A_2024	Shield of the Guilty
WP_A_2026	Carian Knight's Shield
WP_A_2030	Blue-Gold Kite Shield
WP_A_2031	Scorpion Kite Shield
WP_A_2032	Twinbird Kite Shield
WP_A_2033	Kite Shield
WP_A_2035	Inverted Hawk Heater Shield
WP_A_2036	Eclipse Crest Heater Shield
WP_A_2037	Blue Crest Heater Shield
WP_A_2038	Red Crest Heater Shield
WP_A_2039	Beast Crest Heater Shield
WP_A_2040	Hawk Crest Wooden Shield
WP_A_2041	Flame Crest Wooden Shield
WP_A_2042	Candletree Wooden Shield
WP_A_2043	Horse Crest Wooden Shield
WP_A_2044	Large Leather Shield
WP_A_2045	Black Leather Shield
WP_A_2098	Buckler
WP_A_2101	Marred Leather Shield
WP_A_2103	Perfumer's Shield
WP_A_2104	Man-Serpent's Shield
WP_A_2106	Pillory Shield
WP_A_2108	Red Thorn Roundshield
WP_A_2109	Scripture Wooden Shield
WP_A_2110	Riveted Wooden Shield
WP_A_2111	Blue-White Wooden Shield
WP_A_2112	Coil Shield
WP_A_2113	Spiralhorn Shield
WP_A_2115	Rift Shield
WP_A_2116	Iron Roundshield
WP_A_2117	Gilded Iron Shield
WP_A_2118	Ice Crest Shield
WP_A_2119	Smoldering Shield
WP_A_2202	Briar Greatshield
WP_A_2203	Brass Shield
WP_A_2206	Erdtree Greatshield
WP_A_2207	Golden Beast Crest Shield
WP_A_2208	Dragon Towershield
WP_A_2211	Jellyfish Shield
WP_A_2212	Fingerprint Stone Shield
WP_A_2213	Icon Shield
WP_A_2214	One-Eyed Shield
WP_A_2216	Spiked Palisade Shield
WP_A_2217	Visage Shield
WP_A_2218	Manor Towershield
WP_A_2219	Crossed-Tree Towershield
WP_A_2220	Inverted Hawk Towershield
WP_A_2221	Ant's Skull Plate
WP_A_2222	Redmane Greatshield
WP_A_2223	Eclipse Crest Greatshield
WP_A_2224	Cuckoo Greatshield
WP_A_2225	Golden Greatshield
WP_A_2226	Gilded Greatshield
WP_A_2227	Haligtree Crest Greatshield
WP_A_2228	Lordsworn's Shield
WP_A_3000	Torch
WP_A_3001	Torchpole
WP_A_3004	Steel-Wire Torch
WP_A_3006	St. Trina's Torch
WP_A_3007	Ghostflame Torch
WP_A_3008	Sentry's Torch
WP_A_4014	Envoy's Horn
WP_A_4015	Envoy's Long Horn
WP_A_4016	Envoy's Greathorn
WP_A_503	Beastman's Jar-Shield
WP_A_7000	Arrow
WP_A_7010	Bone Arrow
WP_A_7020	Bone Arrow (Fletched)
WP_A_7030	Fire Arrow
WP_A_7040	Serpent Arrow
WP_A_7050	Dwelling Arrow
WP_A_7060	St. Trina's Arrow
WP_A_7110	Golden Arrow
WP_A_7300	Great Arrow
WP_A_7310	Golem's Great Arrow
WP_A_7320	Golden Great Arrow
WP_A_7330	Golem's Magic Arrow
WP_A_7340	Radahn's Spear
WP_A_7350	Bone Great Arrow (Fletched)
WP_A_7500	Bolt
WP_A_7520	Perfumer's Bolt
WP_A_7530	Black-Key Bolt
WP_A_7570	Bone Bolt
WP_A_7700	Ballista Bolt
WP_A_7710	Lightning Greatbolt
WP_A_7720	Explosive Greatbolt
WP_A_7730	Meteor Bolt
